"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Total Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes,"Ship Weight","Material Cost","Labor Cost"
,030618BS1434,,XUA10,"10ft Ext w/ UBolts & Cable Kit;10 ft Extension;1/4 Galv Cable Clamp;1/4in x 11ft Galv Cable with one end pressed with 1/4in Galv Thimble and 3/8 x 2.5 Galv Eyebolt;1/4 Thimble Galv;1 x 6 Backstrip;3/8 Flange Nut;3/8 Locknut w/ Nylon Insert;3/8 x 4 x 5.5 U-Bolt 4in Thread;3/8 x 4 x 7 U-Bolt 4in Thread;3/8 x 6.0 Eyebolt Galv 2-1/2in Thread;Extension Shim with Adhesive",1,"Extension Shim with Adhesive",XS600,4,4,EA,899,PACK,0,0,,430,181,430,,,,0.068,999999999,999999999
,030618BS1434,,XUA10,"10ft Ext w/ UBolts & Cable Kit;10 ft Extension;1/4 Galv Cable Clamp;1/4in x 11ft Galv Cable with one end pressed with 1/4in Galv Thimble and 3/8 x 2.5 Galv Eyebolt;1/4 Thimble Galv;1 x 6 Backstrip;3/8 Flange Nut;3/8 Locknut w/ Nylon Insert;3/8 x 4 x 5.5 U-Bolt 4in Thread;3/8 x 4 x 7 U-Bolt 4in Thread;3/8 x 6.0 Eyebolt Galv 2-1/2in Thread;Extension Shim with Adhesive",1,"10 ft Extension",X10,1,1,EA,899,PACK,0,0,,430,181,430,,,,29.57,999999999,999999999
,030618BS1434,,XUA10,"10ft Ext w/ UBolts & Cable Kit;10 ft Extension;1/4 Galv Cable Clamp;1/4in x 11ft Galv Cable with one end pressed with 1/4in Galv Thimble and 3/8 x 2.5 Galv Eyebolt;1/4 Thimble Galv;1 x 6 Backstrip;3/8 Flange Nut;3/8 Locknut w/ Nylon Insert;3/8 x 4 x 5.5 U-Bolt 4in Thread;3/8 x 4 x 7 U-Bolt 4in Thread;3/8 x 6.0 Eyebolt Galv 2-1/2in Thread;Extension Shim with Adhesive",1,"1 x 6 Backstrip",BS6,1,1,EA,899,PACK,0,0,,430,181,430,,,,0.36,999999999,999999999
,030618BS1434,,XUA10,"10ft Ext w/ UBolts & Cable Kit;10 ft Extension;1/4 Galv Cable Clamp;1/4in x 11ft Galv Cable with one end pressed with 1/4in Galv Thimble and 3/8 x 2.5 Galv Eyebolt;1/4 Thimble Galv;1 x 6 Backstrip;3/8 Flange Nut;3/8 Locknut w/ Nylon Insert;3/8 x 4 x 5.5 U-Bolt 4in Thread;3/8 x 4 x 7 U-Bolt 4in Thread;3/8 x 6.0 Eyebolt Galv 2-1/2in Thread;Extension Shim with Adhesive",1,"1/4 Galv Cable Clamp",CC14G,3,3,EA,899,PACK,0,0,,430,181,430,,,,0.1,999999999,999999999
,030618BS1434,,XUA10,"10ft Ext w/ UBolts & Cable Kit;10 ft Extension;1/4 Galv Cable Clamp;1/4in x 11ft Galv Cable with one end pressed with 1/4in Galv Thimble and 3/8 x 2.5 Galv Eyebolt;1/4 Thimble Galv;1 x 6 Backstrip;3/8 Flange Nut;3/8 Locknut w/ Nylon Insert;3/8 x 4 x 5.5 U-Bolt 4in Thread;3/8 x 4 x 7 U-Bolt 4in Thread;3/8 x 6.0 Eyebolt Galv 2-1/2in Thread;Extension Shim with Adhesive",1,"3/8 x 4 x 7 U-Bolt 4in Thread",UB4X7,1,1,EA,899,PACK,0,0,,430,181,430,,,,0.45,999999999,999999999
,030618BS1434,,XUA10,"10ft Ext w/ UBolts & Cable Kit;10 ft Extension;1/4 Galv Cable Clamp;1/4in x 11ft Galv Cable with one end pressed with 1/4in Galv Thimble and 3/8 x 2.5 Galv Eyebolt;1/4 Thimble Galv;1 x 6 Backstrip;3/8 Flange Nut;3/8 Locknut w/ Nylon Insert;3/8 x 4 x 5.5 U-Bolt 4in Thread;3/8 x 4 x 7 U-Bolt 4in Thread;3/8 x 6.0 Eyebolt Galv 2-1/2in Thread;Extension Shim with Adhesive",1,"3/8 x 6.0 Eyebolt Galv 2-1/2in Thread",EB386.0G,1,1,EA,899,PACK,0,0,,430,181,430,,,,0.3,999999999,999999999
,030618BS1434,,XUA10,"10ft Ext w/ UBolts & Cable Kit;10 ft Extension;1/4 Galv Cable Clamp;1/4in x 11ft Galv Cable with one end pressed with 1/4in Galv Thimble and 3/8 x 2.5 Galv Eyebolt;1/4 Thimble Galv;1 x 6 Backstrip;3/8 Flange Nut;3/8 Locknut w/ Nylon Insert;3/8 x 4 x 5.5 U-Bolt 4in Thread;3/8 x 4 x 7 U-Bolt 4in Thread;3/8 x 6.0 Eyebolt Galv 2-1/2in Thread;Extension Shim with Adhesive",1,"3/8 Flange Nut",FN38,8,8,EA,899,PACK,0,0,,430,181,430,,,,0.018,999999999,999999999
,030618BS1434,,XUA10,"10ft Ext w/ UBolts & Cable Kit;10 ft Extension;1/4 Galv Cable Clamp;1/4in x 11ft Galv Cable with one end pressed with 1/4in Galv Thimble and 3/8 x 2.5 Galv Eyebolt;1/4 Thimble Galv;1 x 6 Backstrip;3/8 Flange Nut;3/8 Locknut w/ Nylon Insert;3/8 x 4 x 5.5 U-Bolt 4in Thread;3/8 x 4 x 7 U-Bolt 4in Thread;3/8 x 6.0 Eyebolt Galv 2-1/2in Thread;Extension Shim with Adhesive",1,"3/8 Locknut w/ Nylon Insert",LN38,4,4,EA,899,PACK,0,0,,430,181,430,,,,0.02,999999999,999999999
,030618BS1434,,XUA10,"10ft Ext w/ UBolts & Cable Kit;10 ft Extension;1/4 Galv Cable Clamp;1/4in x 11ft Galv Cable with one end pressed with 1/4in Galv Thimble and 3/8 x 2.5 Galv Eyebolt;1/4 Thimble Galv;1 x 6 Backstrip;3/8 Flange Nut;3/8 Locknut w/ Nylon Insert;3/8 x 4 x 5.5 U-Bolt 4in Thread;3/8 x 4 x 7 U-Bolt 4in Thread;3/8 x 6.0 Eyebolt Galv 2-1/2in Thread;Extension Shim with Adhesive",1,"1/4in x 11ft Galv Cable with one end pressed with 1/4in Galv Thimble and 3/8 x 2.5 Galv Eyebolt",XCAB,1,1,EA,899,PACK,0,0,,430,181,430,,,,1.43,999999999,999999999
,030618BS1434,,XUA10,"10ft Ext w/ UBolts & Cable Kit;10 ft Extension;1/4 Galv Cable Clamp;1/4in x 11ft Galv Cable with one end pressed with 1/4in Galv Thimble and 3/8 x 2.5 Galv Eyebolt;1/4 Thimble Galv;1 x 6 Backstrip;3/8 Flange Nut;3/8 Locknut w/ Nylon Insert;3/8 x 4 x 5.5 U-Bolt 4in Thread;3/8 x 4 x 7 U-Bolt 4in Thread;3/8 x 6.0 Eyebolt Galv 2-1/2in Thread;Extension Shim with Adhesive",1,"1/4 Thimble Galv",TM14G,1,1,EA,899,PACK,0,0,,430,181,430,,,,0.03,999999999,999999999
